code_colour,item_status,odm_customer,item_name,item_location,receive_qty,stock_qty,release_date,item_aging,pack_unit,pack_size,item_group,item_category,odm_ppo,mfg_date,item_cargo,arrive_date,soldout_date,soldout_status
TZ24239871 BLACK/AQUA,SHIPPING,THINGZ,,,79,,,,1,,ODM,DRESS,PO1861,2024-12-27 00:00:00+00,AIR,,,
TZ24239868 GREEN,SHIPPING,THINGZ,,,69,,,,1,,ODM,DRESS,PO1861,2024-12-27 00:00:00+00,AIR,,,
TZ24239869 BLACK,SHIPPING,THINGZ,,,78,,,,1,,ODM,DRESS,PO1861,2024-12-27 00:00:00+00,AIR,,,
TZ24117862 BLACK/PINK,SHIPPING,THINGZ,,,75,,,,1,,ODM,DRESS,PO1861,2024-12-27 00:00:00+00,AIR,,,
TZ24117861 AQUA,SHIPPING,THINGZ,,,74,,,,1,,ODM,DRESS,PO1861,2024-12-27 00:00:00+00,AIR,,,
C24199789 PINK/WHITE,NOT RELEASE,,,,27,,,,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,2024-12-27 00:00:00+00,AIR,,,
C24199789 WHITE/RED,NOT RELEASE,,,,27,,,,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,2024-12-27 00:00:00+00,AIR,,,
C24773788 WHITE/BLUE,NOT RELEASE,,,,27,,,,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,2024-12-27 00:00:00+00,AIR,,,
C24257814 FLAMINGO,NOT RELEASE,,,,30,,,,6,"{""S/M"":2,""M/L"":2,""L/XL"":2}",BOHO,DRESS,,2024-12-27 00:00:00+00,AIR,,,
C24776844 BLACK/WHITE,NOT RELEASE,,,,27,,,,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,2024-12-27 00:00:00+00,AIR,,,
P24244796 BEIGE/BLACK,NOT RELEASE,,,,19,,,,7,"{ ""8"": 1, ""10"": 2, ""12"": 2, ""14"": 1, ""16"": 1 }",PRIMROSE,SHIRT,,2024-12-27 00:00:00+00,AIR,,,
SF23110387 BLACK,SHIPPING,ST FROCK,,,99,,,,1,,ODM,DRESS,PO1858,2024-12-27 00:00:00+00,AIR,,,
SF24117894 BLACK,SHIPPING,ST FROCK,,,98,,,,1,,ODM,DRESS,PO1863,2024-12-27 00:00:00+00,AIR,,,
